    
 Dharwad         | Kalghatgi     | Kalghatgi        |493| G.H.P.S.Kalghatgi  
 Chikballapur    | Chikballapur  | Nayanahalli      |264| G.H.P.S.Ajjavara
 Bangalore South | Hebbal        | Domluru          |576| G.H.P.S.Sahakaranagara
 Bangalore Rural | Hoskote       | Bendiganahalli   |248| G.H.P.S.Gullahalli
 Ramnagara      | Kanakapura    | Chikkamuduvadi   |113| G.H.P.S. Thimmegowdana Doddi
 Ramnagara      | Kanakapura    | Erandyapanahalli |68| G.H.P.S. Gulaganahalli
 Bangalore       | Anekal        | Harapanahalli    |330| Ragihalli
 Davanagere      | Harapanahalli | Goverhalli       |543| G.H.P.S. Channahalli
 Chikballapur    | Chikballapur  | Nayanahalli      |277| G.H.P.S.Nayanahalli
 Bangalore Rural | Hoskote       | Shivanapura      |261| G.H.P.S.Mugabala
 Ramnagara      | Kanakapura    | Sathanuru        |116| G.H.P.S. Thotahalli
 Ramnagara      | Kanakapura    | Doddamuduvadi    |44| G.H.P.S. Bandiganahalli
 Chikballapur    | Chikballapur  | Nandi            |273| G.H.P.S.Kuppahalli
 Ramnagara      | Kanakapura    | Halasuru         |14| G.H.P.S. Sasalapura
 Ramnagara      | Kanakapura    | Halasuru         |6| G.H.P.S. Halasuru
 Dharwad         | Kalghatgi     | Kalghatgi        |151| G.H.P.S. Kalghatgi Thanda
 Ramnagara      | Kanakapura    | Erandyapanahalli |61| G.H.P.S. Erandyapanahalli
 Davanagere      | Harapanahalli | Haluvagalu       |568| G.H.P.S.Badavane halvagalu
 Bangalore Rural | Hoskote       | Begur            |223| G.H.P.S.Doddahullurahalli
 Dharwad         | Kalghatgi     | Mishrikoti       |468| G.H.P.S.Ugnikeri
 Dharwad         | Kalghatgi     | Muthagi          |143| G.H.P.S. Mutthagi
 Davanagere      | Harapanahalli | Singrihalli      |564| G.H.P.S.Keretanda
 Bangalore Rural | Hoskote       | Kalkunte         |199| G.H.P.S.Gundur
 Chikballapur    | Chikballapur  | Poshettihalli    |296| G.H.P.S.Bomenahalli
 Bangalore Rural | Hoskote       | Alappanahalli    |240| G.H.P.S.Alappanahalli
 Bangalore Rural | Hoskote       | Alappanahalli    |246| G.H.P.S.Lakkondahalli
 Bangalore Rural | Hoskote       | Jadigenahalli    |211| G.H.P.S.Tavatahalli
